題目,A,B,C,D,答案,難度
北港朝天宮主要供奉哪位神明？,王爺,關聖帝君,媽祖,土地公,C,1
朝天宮位於哪一個縣市？,嘉義縣,雲林縣,彰化縣,台南市,B,1
媽祖又被稱為什麼？,觀音佛祖,三太子,天上聖母,玉皇大帝,C,1
虎爺常被信眾祈求什麼？,考試進步,財運與平安,天氣晴朗,長高,B,1
求學業進步應該拜哪一殿？,觀音殿,三官殿,文昌殿,開山堂,C,1
文昌殿主要掌管什麼？,健康,學業考試,天氣,農業,B,1
觀音殿主祀哪位神明？,觀音菩薩,媽祖,關公,土地公,A,1
月老星君供奉在哪一殿？,文昌殿,正殿,開山堂,三官殿,D,1
註生娘娘主要保佑什麼？,生育與幼童平安,財運,考試,農作豐收,A,1
朝天宮的格局稱為什麼？,三落五院,五落八殿,四落八殿一埕七院,七落四院,C,1
朝天宮創建於哪一年？,1694年,1812年,1906年,1964年,A,1
朝天宮開山人物是誰？,陳應彬,浣衷和尚,樹璧和尚,張九年,C,1
樹璧和尚從哪裡迎請媽祖來台？,泉州,湄洲,福州,廣州,B,1
北港迎媽祖最重要的月份是？,正月,二月,三月,五月,C,1
藝閣遊行中的主角多半是？,老人,小朋友,警察,老師,B,1
藝閣上的小朋友會發送什麼？,平安糖,玩具車,水果,便當,A,1
北港迎媽祖屬於台灣三大什麼之一？,燈會,廟會,炮祭,遊行,C,1
進香時最重要的儀式是？,跳鍾馗,起火坩,放天燈,搶孤,B,1
朝天宮是什麼等級古蹟？,縣定古蹟,市定古蹟,國定古蹟,世界遺產,C,1
朝天宮建築坐向為何？,座東朝西,座西朝東,座南朝北,座北朝南,D,1
千里眼將軍的皮膚顏色是？,紅色,藍色,綠色,黑色,C,2
順風耳將軍主要負責什麼？,看世間苦難,聽世間求救,管理財運,保佑考試,B,2
媽祖神桌下方供奉哪位神明？,福德正神,太子爺,虎爺,月老,C,2
聖父母殿供奉誰？,媽祖父母,歷代皇帝,地方仕紳,開山匠師,A,2
朝天宮原本曾被稱為什麼？,天后宮,媽祖宮,聖母宮,湄洲宮,A,2
朝天宮正式改名為朝天宮是在何時？,1694年,1730年,1812年,1964年,C,2
朝天宮保存的三寶之一是？,玉璽,寶璽,皇冠,金印,B,2
《昭應錄》主要記載什麼？,建築圖,地方志,媽祖事蹟,稅收資料,C,2
北港進香俗稱什麼時期最熱鬧？,五月瘋媽祖,三月瘋媽祖,七月瘋媽祖,九月瘋媽祖,B,2
朝天宮正面寬度共有幾開間？,五開間,七開間,八開間,九開間,D,2
主持日治時期大重修的匠師是誰？,張九年,陳應彬,浣衷,樹璧和尚,B,2
龍虎門藻井最中央雕刻什麼？,鳳凰,麒麟,雙鶴,龍珠,C,2
最古老的一對龍柱位於哪裡？,正殿,三川殿,觀音殿,文昌殿,C,2
文昌殿前御路最特別的特色是？,單龍戲珠,雙龍戲珠,鳳凰朝日,麒麟送子,B,2
廟埕石欄杆上共有幾尊四海龍王？,2尊,3尊,4尊,5尊,C,2
東海龍王的名字是？,敖吉,敖順,敖明,敖光,D,2
北港迎媽祖核心日期之一是農曆？,一月十五,三月十九,五月五日,七月十五,B,2
藝閣遊行常出現哪類故事人物？,卡通人物,運動明星,神話故事人物,歌手,C,3
北港迎媽祖保存團體為何？,文化部,雲林縣政府,財團法人北港朝天宮,教育部,C,3
朝天宮目前華麗外觀主要奠基於哪個時期？,清康熙,清乾隆,日治大正時期,民國時期,C,3
樹璧和尚是佛教哪一宗派傳人？,曹洞宗,臨濟正宗,淨土宗,天台宗,B,3
朝天宮最初的建築形式是？,石廟,木造大殿,茅草小祠,洋樓,C,3
1730年主持重修朝天宮的人是？,浣衷和尚,張九年,陳應彬,安武金藏,B,3
1812年改名朝天宮是為了紀念哪座建築？,天后宮,開元寺,朝天閣,龍山寺,C,3
光緒皇帝御賜給朝天宮的匾額為？,萬世流芳,澤被蒼生,慈雲灑潤,海國安瀾,C,3
1906年重創朝天宮的是哪場地震？,集集地震,梅山地震,新化地震,白河地震,B,3
朝天宮於1964年改建時，正殿高度提高到約幾公尺？,10公尺,12公尺,15公尺,20公尺,C,3
朝天宮1985年最初被指定為何種古蹟？,三級古蹟,縣定古蹟,一級古蹟,二級古蹟,D,3
觀音殿前石階上的傳奇文物稱為？,龍柱石,孝子釘,平安石,鎮廟石,B,3
孝子釘故事主角是誰？,蕭顯傳,林爽文,張九年,浣衷和尚,A,3
井上媽原本是哪一國人？,中國人,韓國人,日本人,荷蘭人,C,3
朝天宮主管機關為何？,教育部,文化部,雲林縣政府,內政部,B,3
北港進香保存技術名稱為？,搶頭香,炸寒單,起火坩,王船祭,C,3
犁炮是利用什麼引燃鞭炮？,火把,燒紅鐵片,蠟燭,香枝,B,3
北港迎媽祖共有幾尊媽祖神轎出巡？,4尊,5尊,6尊,7尊,C,3
六大媽祖神轎中的第一尊稱為？,大媽,祖媽,聖母,正媽,B,3
下列何者不是朝天宮傳廟三寶？,寶璽,昭應錄,心經缽,玉如意,D,3
龍虎門藻井在臺灣建築史上的特色是？,首次雙龍柱,首次長枝八角藻井,首次剪黏,首次鐘樓,B,3
四海龍王中代表北海的是誰？,敖吉,敖光,敖順,敖明,A,3
朝天宮成為國定古蹟的重要原因之一是？,有摩天大樓,有世界最高神像,孕育迎媽祖與進香文化,擁有動物園,C,3
請說出「媽祖」的台語,,,,,audio/q1.wav,1
請說出「北港朝天宮」的台語,,,,,audio/q2.wav,3
「北港朝天宮」的古稱是「笨港」。請問，地名「笨港」最傳統、正確的台語讀音是哪一個？,audio/A.wav,audio/B.wav,audio/C.wav,audio/D.wav,B,2
